item_id,old_offer_id,new_offer_id
55897924927753,640100-43.00 GBP,mgs-55897924927753
55897924862217,640250-72.00 GBP,mgs-55897924862217
57040552624393,50102-32.00 GBP,mgs-57040552624393
57040551805193,50201-15.00 GBP,mgs-57040551805193
55897938133257,50202-25.00 GBP,mgs-55897938133257
57040551739657,50103-32.00 GBP,mgs-57040551739657
55897931743497,50101-15.00 GBP,mgs-55897931743497
57040551510281,50105-15.00 GBP,mgs-57040551510281
55897929613577,102040-41.00 GBP,mgs-55897929613577
55897924043017,42100-38.00 GBP,mgs-55897924043017
55897924010249,42101-38.00 GBP,mgs-55897924010249
55897923977481,42500-112.00 GBP,mgs-55897923977481
55897924305161,43100-38.00 GBP,mgs-55897924305161
55897924337929,43101-38.00 GBP,mgs-55897924337929
55897924403465,43105-43.00 GBP,mgs-55897924403465
55897924370697,43500-112.00 GBP,mgs-55897924370697
55897924796681,40050-15.00 GBP,mgs-55897924796681
55897924763913,40250-31.00 GBP,mgs-55897924763913
55897924731145,40056-61.00 GBP,mgs-55897924731145
55897938002185,920304-81.00 GBP,mgs-55897938002185
57040552231177,40012-14.00 GBP,mgs-57040552231177
55897938034953,40032-41.00 GBP,mgs-55897938034953
55897925353737,41030-23.00 GBP,mgs-55897925353737
55897925386505,41055-47.00 GBP,mgs-55897925386505
55897925419273,41100-63.00 GBP,mgs-55897925419273
55897925320969,41500-175.00 GBP,mgs-55897925320969
55897925452041,41052-2.00 GBP,mgs-55897925452041
57077126627593,41045-25.00 GBP,mgs-57077126627593
57040552689929,41115-29.00 GBP,mgs-57040552689929
57040552657161,41105-29.00 GBP,mgs-57040552657161
55897927418121,40014-19.00 GBP,mgs-55897927418121
55897931153673,44100-38.00 GBP,mgs-55897931153673
55897931088137,44101-38.00 GBP,mgs-55897931088137
55897931120905,44500-112.00 GBP,mgs-55897931120905
55897925288201,40040-19.00 GBP,mgs-55897925288201
55897927647497,850400-12.00 GBP,mgs-55897927647497
55897932398857,40102-32.00 GBP,mgs-55897932398857
55897926992137,40202-25.00 GBP,mgs-55897926992137
57040551248137,40201-15.00 GBP,mgs-57040551248137
55897930694921,40103-32.00 GBP,mgs-55897930694921
55897925124361,40101-15.00 GBP,mgs-55897925124361
55897932431625,40105-15.00 GBP,mgs-55897932431625
55897938592009,40013-21.50 GBP,mgs-55897938592009
55897930629385,40030-19.00 GBP,mgs-55897930629385
55897924272393,40020-19.00 GBP,mgs-55897924272393
55897931579657,70100-38.00 GBP,mgs-55897931579657
55897931612425,70500-112.00 GBP,mgs-55897931612425
55897927516425,500100-24.00 GBP,mgs-55897927516425
55897927549193,500500-78.00 GBP,mgs-55897927549193
55897924993289,55525-26.00 GBP,mgs-55897924993289
55897931940105,999003-33.00 GBP,mgs-55897931940105
55897929744649,815100-12.50 GBP,mgs-55897929744649
55897929777417,815250-21.00 GBP,mgs-55897929777417
56839265059081,815600-43.00 GBP,mgs-56839265059081
55897924108553,810100-12.50 GBP,mgs-55897924108553
55897924141321,810250-21.00 GBP,mgs-55897924141321
56839265091849,810600-43.00 GBP,mgs-56839265091849
57040552427785,850100-12.00 GBP,mgs-57040552427785
56082948260105,670030-20.00 GBP,mgs-56082948260105
55897929941257,260100-24.00 GBP,mgs-55897929941257
55897929974025,260101-24.00 GBP,mgs-55897929974025
